Distance;Intensity;State;Counter;Encoder1;Encoder2;Encoder3
3071.829;38.877;0;25321;601643;0;0
3067.562;39.853;0;25322;601646;0;0
3067.366;42.173;0;25323;601649;0;0
3064.89;44.591;0;25324;601653;0;0
3059.932;49.744;0;25325;601656;0;0
3055.463;56.654;0;25326;601660;0;0
3053.96;67.937;0;25327;601664;0;0
3058.12;79.585;0;25328;601668;0;0
3064.873;83.858;0;25329;601671;0;0
3072.703;79.389;0;25330;601675;0;0
3079.613;67.912;0;25331;601679;0;0
3086.053;54.359;0;25332;601683;0;0
3085.192;44.908;0;25333;601687;0;0
3078.953;41.49;0;25334;601691;0;0
3071.477;41.294;0;25335;601695;0;0
3068.604;42.491;0;25336;601699;0;0
3070.674;42.002;0;25337;601703;0;0
3073.896;42.076;0;25338;601707;0;0
3072.26;42.418;0;25339;601711;0;0
3067.423;43.834;0;25340;601716;0;0
3056.21;46.422;0;25341;601720;0;0
3053.07;48.864;0;25342;601724;0;0
3056.327;49.768;0;25343;601729;0;0
3059.705;49.255;0;25344;601733;0;0
3063.185;45.568;0;25345;601738;0;0
3060.911;42.198;0;25346;601742;0;0
3056.508;40.464;0;25347;601747;0;0
3052.899;42.002;0;25348;601752;0;0
3052.252;44.249;0;25349;601756;0;0
3050.627;45.836;0;25350;601761;0;0
3049.021;45.91;0;25351;601766;0;0
3046.949;44.42;0;25352;601771;0;0
3046.037;41.587;0;25353;601776;0;0
3045.115;37.314;0;25354;601781;0;0
3040.881;36.19;0;25355;601786;0;0
3042.064;34.75;0;25356;601791;0;0
3043.73;34.847;0;25357;601796;0;0
3043.65;33.748;0;25358;601801;0;0
3037.628;31.136;0;25359;601807;0;0
3032.945;27.277;0;25360;601812;0;0
3029.421;25.592;0;25361;601817;0;0
3023.894;24.249;0;25362;601822;0;0
3021.248;24.127;0;25363;601828;0;0
3014.898;23.956;0;25364;601833;0;0
3013.941;24.151;0;25365;601839;0;0
3008.181;23.321;0;25366;601845;0;0
3004.185;22.491;0;25367;601850;0;0
3002.359;20.928;0;25368;601856;0;0
3003.788;16.63;0;25369;601862;0;0
3003.861;10.208;0;25370;601867;0;0
3001.603;4.908;0;25371;601873;0;0
3006.868;3.077;0;25372;601879;0;0
3001.408;3.077;0;25373;601885;0;0
2991.893;2.32;0;25374;601891;0;0
2987.563;1.783;0;25375;601897;0;0
2963.044;1.807;0;25376;601903;0;0
0;0;0;25377;601909;0;0
0;0;0;25378;601915;0;0
0;0;0;25379;601921;0;0
0;0;0;25380;601927;0;0
0;0;0;25381;601934;0;0
2905.176;1.929;0;25382;601940;0;0
2953.386;4.005;0;25383;601946;0;0
2971.437;5.812;0;25384;601953;0;0
2974.032;5.934;0;25385;601959;0;0
2983.811;7.204;0;25386;601965;0;0
3002.975;15.629;0;25387;601972;0;0
3005.556;29.915;0;25388;601978;0;0
2995.863;34.945;0;25389;601985;0;0
2979.368;29.231;0;25390;601991;0;0
2975.393;23.59;0;25391;601998;0;0
2983.097;20.781;0;25392;602005;0;0
2989.671;22.051;0;25393;602011;0;0
2995.769;24.982;0;25394;602018;0;0
2987.754;22.051;0;25395;602025;0;0
2921.552;20.977;0;25396;602031;0;0
2919.819;34.335;0;25397;602038;0;0
2932.762;51.16;0;25398;602045;0;0
2943.592;64.151;0;25399;602052;0;0
2950.224;76.093;0;25400;602058;0;0
2951.27;83.126;0;25401;602065;0;0
2950.916;85.348;0;25402;602072;0;0
2958.439;86.618;0;25403;602079;0;0
2963.377;81.88;0;25404;602086;0;0
2949.141;61.172;0;25405;602093;0;0
2919.148;44.005;0;25406;602100;0;0
2923.544;52.039;0;25407;602107;0;0
2938.298;71.013;0;25408;602114;0;0
2941.911;85.861;0;25409;602121;0;0
2930.979;83.516;0;25410;602128;0;0
2902.975;72.796;0;25411;602135;0;0
2883.707;63.004;0;25412;602143;0;0
2900.117;53.724;0;25413;602150;0;0
2941.783;64.518;0;25414;602157;0;0
2961.068;90.745;0;25415;602164;0;0
2967.986;98.999;0;25416;602171;0;0
2964.302;98.999;0;25417;602179;0;0
2946.981;87.766;0;25418;602186;0;0
2925.446;69.89;0;25419;602193;0;0
